NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Sandy Hook 
State: NJ 
Stationid: 8531680
Prediction Type: Harmonic
From: 20180101 00:27 - 20181231 21:49
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/05/13	Sun	01:03 PM	-0.07		-2			L
2018/05/13	Sun	07:11 PM	5.64		172			H
2018/05/14	Mon	01:45 AM	-0.11		-3			L
2018/05/14	Mon	07:37 AM	5.11		156			H
2018/05/14	Mon	01:49 PM	-0.23		-7			L
2018/05/14	Mon	07:54 PM	5.95		181			H
2018/05/15	Tue	02:34 AM	-0.35		-11			L
2018/05/15	Tue	08:23 AM	5.20		158			H
2018/05/15	Tue	02:36 PM	-0.32		-10			L
2018/05/15	Tue	08:38 PM	6.14		187			H
2018/05/16	Wed	03:23 AM	-0.51		-16			L
2018/05/16	Wed	09:11 AM	5.20		158			H
2018/05/16	Wed	03:23 PM	-0.34		-10			L
2018/05/16	Wed	09:24 PM	6.19		189			H
2018/05/17	Thu	04:12 AM	-0.56		-17			L
2018/05/17	Thu	10:03 AM	5.13		156			H
2018/05/17	Thu	04:11 PM	-0.28		-9			L
2018/05/17	Thu	10:15 PM	6.10		186			H
2018/05/18	Fri	05:01 AM	-0.49		-15			L
2018/05/18	Fri	10:59 AM	5.02		153			H
2018/05/18	Fri	05:01 PM	-0.12		-4			L
2018/05/18	Fri	11:11 PM	5.92		180			H
2018/05/19	Sat	05:53 AM	-0.33		-10			L
2018/05/19	Sat	11:59 AM	4.93		150			H
2018/05/19	Sat	05:55 PM	0.12		4			L
2018/05/20	Sun	12:11 AM	5.70		174			H
2018/05/20	Sun	06:50 AM	-0.12		-4			L
2018/05/20	Sun	01:00 PM	4.89		149			H
2018/05/20	Sun	06:56 PM	0.38		12			L
2018/05/21	Mon	01:12 AM	5.47		167			H
2018/05/21	Mon	07:53 AM	0.05		2			L
2018/05/21	Mon	01:59 PM	4.90		149			H
2018/05/21	Mon	08:06 PM	0.56		17			L
2018/05/22	Tue	02:12 AM	5.26		160			H
2018/05/22	Tue	08:58 AM	0.12		4			L
2018/05/22	Tue	02:58 PM	4.97		151			H
2018/05/22	Tue	09:17 PM	0.59		18			L
2018/05/23	Wed	03:11 AM	5.07		155			H
2018/05/23	Wed	09:58 AM	0.08		2			L
2018/05/23	Wed	03:56 PM	5.08		155			H
2018/05/23	Wed	10:22 PM	0.48		15			L
2018/05/24	Thu	04:11 AM	4.93		150			H
2018/05/24	Thu	10:52 AM	0.01		0			L
2018/05/24	Thu	04:54 PM	5.25		160			H
2018/05/24	Thu	11:19 PM	0.32		10			L
2018/05/25	Fri	05:11 AM	4.86		148			H
2018/05/25	Fri	11:41 AM	-0.05		-2			L
2018/05/25	Fri	05:49 PM	5.45		166			H
2018/05/26	Sat	12:12 AM	0.16		5			L
2018/05/26	Sat	06:06 AM	4.85		148			H
2018/05/26	Sat	12:27 PM	-0.06		-2			L
2018/05/26	Sat	06:39 PM	5.63		172			H
2018/05/27	Sun	01:01 AM	0.04		1			L
2018/05/27	Sun	06:57 AM	4.86		148			H
2018/05/27	Sun	01:11 PM	-0.02		-1			L
2018/05/27	Sun	07:24 PM	5.75		175			H
2018/05/28	Mon	01:48 AM	-0.04		-1			L
2018/05/28	Mon	07:43 AM	4.84		148			H
2018/05/28	Mon	01:54 PM	0.07		2			L
2018/05/28	Mon	08:05 PM	5.78		176			H
2018/05/29	Tue	02:33 AM	-0.08		-2			L
2018/05/29	Tue	08:27 AM	4.79		146			H
2018/05/29	Tue	02:36 PM	0.19		6			L
2018/05/29	Tue	08:45 PM	5.72		174			H
2018/05/30	Wed	03:15 AM	-0.07		-2			L
2018/05/30	Wed	09:09 AM	4.68		143			H
2018/05/30	Wed	03:16 PM	0.34		10			L
2018/05/30	Wed	09:24 PM	5.58		170			H
2018/05/31	Thu	03:56 AM	-0.00		0			L
2018/05/31	Thu	09:52 AM	4.53		138			H
2018/05/31	Thu	03:55 PM	0.51		16			L
2018/05/31	Thu	10:03 PM	5.38		164			H
2018/06/01	Fri	04:35 AM	0.12		4			L
2018/06/01	Fri	10:36 AM	4.37		133			H
2018/06/01	Fri	04:32 PM	0.70		21			L
2018/06/01	Fri	10:44 PM	5.15		157			H
2018/06/02	Sat	05:13 AM	0.29		9			L
2018/06/02	Sat	11:22 AM	4.23		129			H
2018/06/02	Sat	05:10 PM	0.90		27			L
2018/06/02	Sat	11:27 PM	4.93		150			H
2018/06/03	Sun	05:51 AM	0.47		14			L
2018/06/03	Sun	12:08 PM	4.12		126			H
2018/06/03	Sun	05:48 PM	1.09		33			L
2018/06/04	Mon	12:11 AM	4.74		144			H
2018/06/04	Mon	06:32 AM	0.65		20			L
2018/06/04	Mon	12:54 PM	4.08		124			H
2018/06/04	Mon	06:31 PM	1.27		39			L
2018/06/05	Tue	12:56 AM	4.59		140			H
2018/06/05	Tue	07:17 AM	0.78		24			L
2018/06/05	Tue	01:38 PM	4.12		126			H
2018/06/05	Tue	07:27 PM	1.39		42			L
2018/06/06	Wed	01:42 AM	4.50		137			H
2018/06/06	Wed	08:10 AM	0.82		25			L
2018/06/06	Wed	02:23 PM	4.23		129			H
2018/06/06	Wed	08:37 PM	1.39		42			L
2018/06/07	Thu	02:30 AM	4.44		135			H
2018/06/07	Thu	09:07 AM	0.76		23			L
2018/06/07	Thu	03:10 PM	4.42		135			H
2018/06/07	Thu	09:44 PM	1.22		37			L
2018/06/08	Fri	03:22 AM	4.43		135			H
2018/06/08	Fri	10:00 AM	0.60		18			L
2018/06/08	Fri	04:01 PM	4.70		143			H
2018/06/08	Fri	10:43 PM	0.93		28			L
2018/06/09	Sat	04:20 AM	4.48		137			H
2018/06/09	Sat	10:50 AM	0.38		12			L
2018/06/09	Sat	04:54 PM	5.04		154			H
2018/06/09	Sat	11:36 PM	0.58		18			L
2018/06/10	Sun	05:19 AM	4.61		141			H
2018/06/10	Sun	11:39 AM	0.15		5			L
2018/06/10	Sun	05:47 PM	5.44		166			H
2018/06/11	Mon	12:29 AM	0.21		6			L
2018/06/11	Mon	06:16 AM	4.79		146			H
2018/06/11	Mon	12:28 PM	-0.06		-2			L
2018/06/11	Mon	06:39 PM	5.83		178			H
2018/06/12	Tue	01:21 AM	-0.12		-4			L
2018/06/12	Tue	07:10 AM	4.98		152			H
2018/06/12	Tue	01:19 PM	-0.24		-7			L
2018/06/12	Tue	07:29 PM	6.15		187			H
2018/06/13	Wed	02:14 AM	-0.41		-12			L
2018/06/13	Wed	08:02 AM	5.13		156			H
2018/06/13	Wed	02:12 PM	-0.36		-11			L
2018/06/13	Wed	08:18 PM	6.34		193			H
2018/06/14	Thu	03:06 AM	-0.61		-19			L
2018/06/14	Thu	08:54 AM	5.22		159			H
2018/06/14	Thu	03:04 PM	-0.42		-13			L
2018/06/14	Thu	09:09 PM	6.39		195			H
2018/06/15	Fri	03:57 AM	-0.72		-22			L
2018/06/15	Fri	09:49 AM	5.23		159			H
2018/06/15	Fri	03:57 PM	-0.40		-12			L
2018/06/15	Fri	10:02 PM	6.29		192			H
2018/06/16	Sat	04:47 AM	-0.70		-21			L
2018/06/16	Sat	10:46 AM	5.20		158			H
2018/06/16	Sat	04:49 PM	-0.27		-8			L
2018/06/16	Sat	10:59 PM	6.09		186			H
2018/06/17	Sun	05:38 AM	-0.57		-17			L
2018/06/17	Sun	11:45 AM	5.17		158			H
2018/06/17	Sun	05:44 PM	-0.05		-2			L
2018/06/17	Sun	11:58 PM	5.83		178			H
2018/06/18	Mon	06:32 AM	-0.37		-11			L
2018/06/18	Mon	12:44 PM	5.16		157			H
2018/06/18	Mon	06:42 PM	0.22		7			L
2018/06/19	Tue	12:56 AM	5.54		169			H
2018/06/19	Tue	07:29 AM	-0.15		-5			L
2018/06/19	Tue	01:41 PM	5.17		158			H
2018/06/19	Tue	07:47 PM	0.47		14			L
2018/06/20	Wed	01:53 AM	5.25		160			H
2018/06/20	Wed	08:29 AM	0.01		0			L
2018/06/20	Wed	02:37 PM	5.18		158			H
2018/06/20	Wed	08:56 PM	0.59		18			L
2018/06/21	Thu	02:48 AM	4.97		151			H
2018/06/21	Thu	09:28 AM	0.11		3			L
2018/06/21	Thu	03:32 PM	5.21		159			H
2018/06/21	Thu	10:00 PM	0.59		18			L
2018/06/22	Fri	03:45 AM	4.73		144			H
2018/06/22	Fri	10:22 AM	0.16		5			L
2018/06/22	Fri	04:27 PM	5.26		160			H
2018/06/22	Fri	10:58 PM	0.51		16			L
2018/06/23	Sat	04:42 AM	4.56		139			H
2018/06/23	Sat	11:11 AM	0.20		6			L
2018/06/23	Sat	05:21 PM	5.35		163			H
2018/06/23	Sat	11:50 PM	0.40		12			L
2018/06/24	Sun	05:39 AM	4.49		137			H
2018/06/24	Sun	11:57 AM	0.24		7			L
2018/06/24	Sun	06:12 PM	5.45		166			H
2018/06/25	Mon	12:38 AM	0.29		9			L
2018/06/25	Mon	06:32 AM	4.49		137			H
2018/06/25	Mon	12:42 PM	0.29		9			L
2018/06/25	Mon	06:58 PM	5.54		169			H
2018/06/26	Tue	01:24 AM	0.19		6			L
2018/06/26	Tue	07:20 AM	4.52		138			H
2018/06/26	Tue	01:26 PM	0.35		11			L
2018/06/26	Tue	07:40 PM	5.58		170			H
2018/06/27	Wed	02:09 AM	0.12		4			L
2018/06/27	Wed	08:04 AM	4.54		138			H
2018/06/27	Wed	02:09 PM	0.41		12			L
2018/06/27	Wed	08:21 PM	5.57		170			H
2018/06/28	Thu	02:51 AM	0.08		2			L
2018/06/28	Thu	08:47 AM	4.53		138			H
2018/06/28	Thu	02:51 PM	0.47		14			L
2018/06/28	Thu	08:59 PM	5.49		167			H
2018/06/29	Fri	03:32 AM	0.08		2			L
2018/06/29	Fri	09:28 AM	4.48		137			H
2018/06/29	Fri	03:31 PM	0.56		17			L
2018/06/29	Fri	09:38 PM	5.36		163			H
2018/06/30	Sat	04:11 AM	0.13		4			L
2018/06/30	Sat	10:09 AM	4.39		134			H
2018/06/30	Sat	04:10 PM	0.66		20			L
2018/06/30	Sat	10:17 PM	5.19		158			H
2018/07/01	Sun	04:47 AM	0.22		7			L
2018/07/01	Sun	10:51 AM	4.31		131			H
2018/07/01	Sun	04:47 PM	0.79		24			L
2018/07/01	Sun	10:56 PM	5.01		153			H
2018/07/02	Mon	05:23 AM	0.34		10			L
2018/07/02	Mon	11:34 AM	4.26		130			H
2018/07/02	Mon	05:24 PM	0.94		29			L
2018/07/02	Mon	11:36 PM	4.85		148			H
2018/07/03	Tue	05:59 AM	0.46		14			L
2018/07/03	Tue	12:16 PM	4.26		130			H
2018/07/03	Tue	06:03 PM	1.08		33			L
2018/07/04	Wed	12:18 AM	4.70		143			H
2018/07/04	Wed	06:36 AM	0.56		17			L
2018/07/04	Wed	12:57 PM	4.33		132			H
2018/07/04	Wed	06:49 PM	1.20		37			L
2018/07/05	Thu	01:02 AM	4.59		140			H
2018/07/05	Thu	07:19 AM	0.63		19			L
2018/07/05	Thu	01:40 PM	4.47		136			H
2018/07/05	Thu	07:50 PM	1.26		38			L
2018/07/06	Fri	01:50 AM	4.51		137			H
2018/07/06	Fri	08:11 AM	0.64		20			L
2018/07/06	Fri	02:26 PM	4.67		142			H
2018/07/06	Fri	09:02 PM	1.18		36			L
2018/07/07	Sat	02:42 AM	4.46		136			H
2018/07/07	Sat	09:11 AM	0.57		17			L
2018/07/07	Sat	03:17 PM	4.92		150			H
2018/07/07	Sat	10:08 PM	0.94		29			L
2018/07/08	Sun	03:40 AM	4.45		136			H
2018/07/08	Sun	10:10 AM	0.41		12			L
2018/07/08	Sun	04:13 PM	5.21		159			H
2018/07/08	Sun	11:08 PM	0.60		18			L
2018/07/09	Mon	04:44 AM	4.52		138			H
2018/07/09	Mon	11:06 AM	0.20		6			L
2018/07/09	Mon	05:13 PM	5.54		169			H
2018/07/10	Tue	12:04 AM	0.23		7			L
2018/07/10	Tue	05:49 AM	4.69		143			H
2018/07/10	Tue	12:01 PM	-0.02		-1			L
2018/07/10	Tue	06:13 PM	5.89		180			H
2018/07/11	Wed	12:59 AM	-0.12		-4			L
2018/07/11	Wed	06:49 AM	4.93		150			H
2018/07/11	Wed	12:57 PM	-0.23		-7			L
2018/07/11	Wed	07:08 PM	6.21		189			H
2018/07/12	Thu	01:54 AM	-0.43		-13			L
2018/07/12	Thu	07:44 AM	5.17		158			H
2018/07/12	Thu	01:53 PM	-0.40		-12			L
2018/07/12	Thu	08:02 PM	6.42		196			H
2018/07/13	Fri	02:47 AM	-0.67		-20			L
2018/07/13	Fri	08:38 AM	5.35		163			H
2018/07/13	Fri	02:48 PM	-0.51		-16			L
2018/07/13	Fri	08:54 PM	6.48		198			H
2018/07/14	Sat	03:39 AM	-0.81		-25			L
2018/07/14	Sat	09:33 AM	5.45		166			H
2018/07/14	Sat	03:43 PM	-0.53		-16			L
2018/07/14	Sat	09:48 PM	6.38		194			H
2018/07/15	Sun	04:29 AM	-0.83		-25			L
2018/07/15	Sun	10:28 AM	5.48		167			H
2018/07/15	Sun	04:35 PM	-0.43		-13			L
2018/07/15	Sun	10:43 PM	6.16		188			H
2018/07/16	Mon	05:18 AM	-0.71		-22			L
2018/07/16	Mon	11:25 AM	5.46		166			H
2018/07/16	Mon	05:28 PM	-0.21		-6			L
2018/07/16	Mon	11:39 PM	5.86		179			H
2018/07/17	Tue	06:08 AM	-0.49		-15			L
2018/07/17	Tue	12:22 PM	5.43		166			H
2018/07/17	Tue	06:24 PM	0.10		3			L
2018/07/18	Wed	12:35 AM	5.51		168			H
2018/07/18	Wed	07:00 AM	-0.21		-6			L
2018/07/18	Wed	01:17 PM	5.37		164			H
2018/07/18	Wed	07:23 PM	0.42		13			L
2018/07/19	Thu	01:29 AM	5.16		157			H
2018/07/19	Thu	07:55 AM	0.08		2			L
2018/07/19	Thu	02:10 PM	5.30		162			H
2018/07/19	Thu	08:28 PM	0.65		20			L
2018/07/20	Fri	02:22 AM	4.81		147			H
2018/07/20	Fri	08:53 AM	0.32		10			L
2018/07/20	Fri	03:03 PM	5.22		159			H
2018/07/20	Fri	09:33 PM	0.75		23			L
2018/07/21	Sat	03:17 AM	4.52		138			H
2018/07/21	Sat	09:49 AM	0.47		14			L
2018/07/21	Sat	03:56 PM	5.17		158			H
2018/07/21	Sat	10:32 PM	0.73		22			L
2018/07/22	Sun	04:13 AM	4.32		132			H
2018/07/22	Sun	10:41 AM	0.56		17			L
2018/07/22	Sun	04:50 PM	5.16		157			H
2018/07/22	Sun	11:25 PM	0.64		20			L
2018/07/23	Mon	05:11 AM	4.25		130			H
2018/07/23	Mon	11:29 AM	0.59		18			L
2018/07/23	Mon	05:42 PM	5.21		159			H
2018/07/24	Tue	12:13 AM	0.52		16			L
2018/07/24	Tue	06:06 AM	4.28		130			H
2018/07/24	Tue	12:15 PM	0.59		18			L
2018/07/24	Tue	06:31 PM	5.30		162			H
2018/07/25	Wed	12:59 AM	0.40		12			L
2018/07/25	Wed	06:57 AM	4.38		134			H
2018/07/25	Wed	01:00 PM	0.57		17			L
2018/07/25	Wed	07:16 PM	5.39		164			H
2018/07/26	Thu	01:43 AM	0.29		9			L
2018/07/26	Thu	07:42 AM	4.49		137			H
2018/07/26	Thu	01:44 PM	0.54		16			L
2018/07/26	Thu	07:57 PM	5.45		166			H
2018/07/27	Fri	02:25 AM	0.20		6			L
2018/07/27	Fri	08:23 AM	4.57		139			H
2018/07/27	Fri	02:27 PM	0.52		16			L
2018/07/27	Fri	08:36 PM	5.45		166			H
2018/07/28	Sat	03:05 AM	0.14		4			L
2018/07/28	Sat	09:03 AM	4.60		140			H
2018/07/28	Sat	03:08 PM	0.52		16			L
2018/07/28	Sat	09:13 PM	5.39		164			H
2018/07/29	Sun	03:43 AM	0.13		4			L
2018/07/29	Sun	09:41 AM	4.59		140			H
2018/07/29	Sun	03:48 PM	0.56		17			L
2018/07/29	Sun	09:50 PM	5.28		161			H
2018/07/30	Mon	04:19 AM	0.16		5			L
2018/07/30	Mon	10:18 AM	4.56		139			H
2018/07/30	Mon	04:25 PM	0.64		20			L
2018/07/30	Mon	10:26 PM	5.13		156			H
2018/07/31	Tue	04:53 AM	0.23		7			L
2018/07/31	Tue	10:56 AM	4.55		139			H
2018/07/31	Tue	05:01 PM	0.75		23			L
2018/07/31	Tue	11:03 PM	4.96		151			H
2018/08/01	Wed	05:26 AM	0.32		10			L
2018/08/01	Wed	11:34 AM	4.58		140			H
2018/08/01	Wed	05:38 PM	0.87		27			L
2018/08/01	Wed	11:43 PM	4.81		147			H
2018/08/02	Thu	05:59 AM	0.42		13			L
2018/08/02	Thu	12:15 PM	4.65		142			H
2018/08/02	Thu	06:20 PM	0.99		30			L
2018/08/03	Fri	12:28 AM	4.67		142			H
2018/08/03	Fri	06:37 AM	0.51		16			L
2018/08/03	Fri	12:59 PM	4.78		146			H
2018/08/03	Fri	07:14 PM	1.09		33			L
2018/08/04	Sat	01:18 AM	4.55		139			H
2018/08/04	Sat	07:24 AM	0.59		18			L
2018/08/04	Sat	01:48 PM	4.94		151			H
2018/08/04	Sat	08:26 PM	1.10		34			L
2018/08/05	Sun	02:13 AM	4.47		136			H
2018/08/05	Sun	08:28 AM	0.62		19			L
2018/08/05	Sun	02:42 PM	5.12		156			H
2018/08/05	Sun	09:40 PM	0.94		29			L
2018/08/06	Mon	03:14 AM	4.44		135			H
2018/08/06	Mon	09:37 AM	0.54		16			L
2018/08/06	Mon	03:43 PM	5.32		162			H
2018/08/06	Mon	10:45 PM	0.64		20			L
2018/08/07	Tue	04:21 AM	4.50		137			H
2018/08/07	Tue	10:42 AM	0.34		10			L
2018/08/07	Tue	04:48 PM	5.57		170			H
2018/08/07	Tue	11:44 PM	0.27		8			L
2018/08/08	Wed	05:28 AM	4.71		144			H
2018/08/08	Wed	11:42 AM	0.08		2			L
2018/08/08	Wed	05:52 PM	5.88		179			H
2018/08/09	Thu	12:40 AM	-0.09		-3			L
2018/08/09	Thu	06:31 AM	5.01		153			H
2018/08/09	Thu	12:41 PM	-0.18		-5			L
2018/08/09	Thu	06:52 PM	6.18		188			H
2018/08/10	Fri	01:35 AM	-0.41		-12			L
2018/08/10	Fri	07:28 AM	5.33		162			H
2018/08/10	Fri	01:38 PM	-0.41		-12			L
2018/08/10	Fri	07:47 PM	6.40		195			H
2018/08/11	Sat	02:27 AM	-0.66		-20			L
2018/08/11	Sat	08:22 AM	5.60		171			H
2018/08/11	Sat	02:33 PM	-0.56		-17			L
2018/08/11	Sat	08:39 PM	6.47		197			H
2018/08/12	Sun	03:18 AM	-0.81		-25			L
2018/08/12	Sun	09:14 AM	5.76		176			H
2018/08/12	Sun	03:27 PM	-0.60		-18			L
2018/08/12	Sun	09:30 PM	6.37		194			H
2018/08/13	Mon	04:06 AM	-0.82		-25			L
2018/08/13	Mon	10:07 AM	5.81		177			H
2018/08/13	Mon	04:19 PM	-0.50		-15			L
2018/08/13	Mon	10:22 PM	6.12		187			H
2018/08/14	Tue	04:53 AM	-0.69		-21			L
2018/08/14	Tue	11:00 AM	5.76		176			H
2018/08/14	Tue	05:09 PM	-0.26		-8			L
2018/08/14	Tue	11:15 PM	5.77		176			H
2018/08/15	Wed	05:39 AM	-0.42		-13			L
2018/08/15	Wed	11:54 AM	5.64		172			H
2018/08/15	Wed	06:00 PM	0.07		2			L
2018/08/16	Thu	12:09 AM	5.38		164			H
2018/08/16	Thu	06:26 AM	-0.07		-2			L
2018/08/16	Thu	12:47 PM	5.49		167			H
2018/08/16	Thu	06:55 PM	0.44		13			L
2018/08/17	Fri	01:02 AM	4.99		152			H
2018/08/17	Fri	07:16 AM	0.32		10			L
2018/08/17	Fri	01:38 PM	5.32		162			H
2018/08/17	Fri	07:56 PM	0.75		23			L
2018/08/18	Sat	01:55 AM	4.64		141			H
2018/08/18	Sat	08:12 AM	0.66		20			L
2018/08/18	Sat	02:29 PM	5.15		157			H
2018/08/18	Sat	09:00 PM	0.93		28			L
2018/08/19	Sun	02:48 AM	4.36		133			H
2018/08/19	Sun	09:12 AM	0.88		27			L
2018/08/19	Sun	03:21 PM	5.02		153			H
2018/08/19	Sun	10:01 PM	0.95		29			L
2018/08/20	Mon	03:44 AM	4.19		128			H
2018/08/20	Mon	10:09 AM	0.97		30			L
2018/08/20	Mon	04:15 PM	4.95		151			H
2018/08/20	Mon	10:56 PM	0.87		27			L
2018/08/21	Tue	04:42 AM	4.14		126			H
2018/08/21	Tue	11:01 AM	0.95		29			L
2018/08/21	Tue	05:10 PM	4.98		152			H
2018/08/21	Tue	11:45 PM	0.73		22			L
2018/08/22	Wed	05:39 AM	4.22		129			H
2018/08/22	Wed	11:49 AM	0.86		26			L
2018/08/22	Wed	06:02 PM	5.09		155			H
2018/08/23	Thu	12:30 AM	0.58		18			L
2018/08/23	Thu	06:31 AM	4.39		134			H
2018/08/23	Thu	12:34 PM	0.74		23			L
2018/08/23	Thu	06:49 PM	5.23		159			H
2018/08/24	Fri	01:13 AM	0.42		13			L
2018/08/24	Fri	07:16 AM	4.58		140			H
2018/08/24	Fri	01:19 PM	0.61		19			L
2018/08/24	Fri	07:31 PM	5.36		163			H
2018/08/25	Sat	01:55 AM	0.28		9			L
2018/08/25	Sat	07:57 AM	4.74		144			H
2018/08/25	Sat	02:02 PM	0.51		16			L
2018/08/25	Sat	08:10 PM	5.43		166			H
2018/08/26	Sun	02:34 AM	0.18		5			L
2018/08/26	Sun	08:34 AM	4.86		148			H
2018/08/26	Sun	02:44 PM	0.44		13			L
2018/08/26	Sun	08:47 PM	5.43		166			H
2018/08/27	Mon	03:12 AM	0.12		4			L
2018/08/27	Mon	09:10 AM	4.92		150			H
2018/08/27	Mon	03:24 PM	0.42		13			L
2018/08/27	Mon	09:21 PM	5.35		163			H
2018/08/28	Tue	03:48 AM	0.11		3			L
2018/08/28	Tue	09:44 AM	4.96		151			H
2018/08/28	Tue	04:03 PM	0.46		14			L
2018/08/28	Tue	09:56 PM	5.22		159			H
2018/08/29	Wed	04:21 AM	0.15		5			L
2018/08/29	Wed	10:18 AM	4.98		152			H
2018/08/29	Wed	04:40 PM	0.53		16			L
2018/08/29	Wed	10:33 PM	5.05		154			H
2018/08/30	Thu	04:54 AM	0.23		7			L
2018/08/30	Thu	10:54 AM	5.01		153			H
2018/08/30	Thu	05:18 PM	0.64		20			L
2018/08/30	Thu	11:14 PM	4.88		149			H
2018/08/31	Fri	05:27 AM	0.34		10			L
2018/08/31	Fri	11:36 AM	5.05		154			H
2018/08/31	Fri	05:59 PM	0.77		23			L
2018/09/01	Sat	12:02 AM	4.70		143			H
2018/09/01	Sat	06:05 AM	0.47		14			L
2018/09/01	Sat	12:25 PM	5.10		155			H
2018/09/01	Sat	06:51 PM	0.91		28			L
2018/09/02	Sun	12:56 AM	4.56		139			H
2018/09/02	Sun	06:52 AM	0.62		19			L
2018/09/02	Sun	01:19 PM	5.17		158			H
2018/09/02	Sun	08:02 PM	0.99		30			L
2018/09/03	Mon	01:55 AM	4.46		136			H
2018/09/03	Mon	07:59 AM	0.74		23			L
2018/09/03	Mon	02:18 PM	5.25		160			H
2018/09/03	Mon	09:19 PM	0.89		27			L
2018/09/04	Tue	02:59 AM	4.46		136			H
2018/09/04	Tue	09:17 AM	0.70		21			L
2018/09/04	Tue	03:22 PM	5.36		163			H
2018/09/04	Tue	10:27 PM	0.62		19			L
2018/09/05	Wed	04:06 AM	4.57		139			H
2018/09/05	Wed	10:28 AM	0.49		15			L
2018/09/05	Wed	04:30 PM	5.54		169			H
2018/09/05	Wed	11:27 PM	0.27		8			L
2018/09/06	Thu	05:14 AM	4.83		147			H
2018/09/06	Thu	11:30 AM	0.18		5			L
2018/09/06	Thu	05:37 PM	5.79		176			H
2018/09/07	Fri	12:22 AM	-0.09		-3			L
2018/09/07	Fri	06:16 AM	5.19		158			H
2018/09/07	Fri	12:28 PM	-0.13		-4			L
2018/09/07	Fri	06:37 PM	6.06		185			H
2018/09/08	Sat	01:14 AM	-0.40		-12			L
2018/09/08	Sat	07:12 AM	5.57		170			H
2018/09/08	Sat	01:24 PM	-0.38		-12			L
2018/09/08	Sat	07:31 PM	6.25		190			H
2018/09/09	Sun	02:05 AM	-0.63		-19			L
2018/09/09	Sun	08:04 AM	5.88		179			H
2018/09/09	Sun	02:18 PM	-0.54		-16			L
2018/09/09	Sun	08:21 PM	6.30		192			H
2018/09/10	Mon	02:53 AM	-0.74		-23			L
2018/09/10	Mon	08:53 AM	6.05		184			H
2018/09/10	Mon	03:10 PM	-0.57		-17			L
2018/09/10	Mon	09:10 PM	6.18		188			H
2018/09/11	Tue	03:40 AM	-0.71		-22			L
2018/09/11	Tue	09:42 AM	6.07		185			H
2018/09/11	Tue	03:59 PM	-0.47		-14			L
2018/09/11	Tue	09:58 PM	5.91		180			H
2018/09/12	Wed	04:24 AM	-0.53		-16			L
2018/09/12	Wed	10:31 AM	5.95		181			H
2018/09/12	Wed	04:47 PM	-0.24		-7			L
2018/09/12	Wed	10:48 PM	5.54		169			H
2018/09/13	Thu	05:07 AM	-0.23		-7			L
2018/09/13	Thu	11:21 AM	5.75		175			H
2018/09/13	Thu	05:35 PM	0.08		2			L
2018/09/13	Thu	11:40 PM	5.14		157			H
2018/09/14	Fri	05:50 AM	0.17		5			L
2018/09/14	Fri	12:12 PM	5.50		168			H
2018/09/14	Fri	06:25 PM	0.46		14			L
2018/09/15	Sat	12:33 AM	4.76		145			H
2018/09/15	Sat	06:36 AM	0.59		18			L
2018/09/15	Sat	01:03 PM	5.24		160			H
2018/09/15	Sat	07:19 PM	0.80		24			L
2018/09/16	Sun	01:26 AM	4.45		136			H
2018/09/16	Sun	07:28 AM	0.97		30			L
2018/09/16	Sun	01:53 PM	5.01		153			H
2018/09/16	Sun	08:21 PM	1.03		31			L
2018/09/17	Mon	02:19 AM	4.22		129			H
2018/09/17	Mon	08:29 AM	1.23		37			L
2018/09/17	Mon	02:45 PM	4.84		148			H
2018/09/17	Mon	09:25 PM	1.10		34			L
2018/09/18	Tue	03:14 AM	4.09		125			H
2018/09/18	Tue	09:33 AM	1.31		40			L
2018/09/18	Tue	03:38 PM	4.75		145			H
2018/09/18	Tue	10:22 PM	1.02		31			L
2018/09/19	Wed	04:11 AM	4.09		125			H
2018/09/19	Wed	10:30 AM	1.22		37			L
2018/09/19	Wed	04:34 PM	4.76		145			H
2018/09/19	Wed	11:12 PM	0.87		27			L
2018/09/20	Thu	05:08 AM	4.22		129			H
2018/09/20	Thu	11:21 AM	1.05		32			L
2018/09/20	Thu	05:28 PM	4.87		148			H
2018/09/20	Thu	11:57 PM	0.67		20			L
2018/09/21	Fri	06:00 AM	4.43		135			H
2018/09/21	Fri	12:08 PM	0.84		26			L
2018/09/21	Fri	06:17 PM	5.04		154			H
2018/09/22	Sat	12:39 AM	0.47		14			L
2018/09/22	Sat	06:46 AM	4.69		143			H
2018/09/22	Sat	12:52 PM	0.63		19			L
2018/09/22	Sat	07:01 PM	5.21		159			H
2018/09/23	Sun	01:20 AM	0.29		9			L
2018/09/23	Sun	07:26 AM	4.93		150			H
2018/09/23	Sun	01:36 PM	0.46		14			L
2018/09/23	Sun	07:40 PM	5.33		162			H
2018/09/24	Mon	01:59 AM	0.14		4			L
2018/09/24	Mon	08:03 AM	5.13		156			H
2018/09/24	Mon	02:19 PM	0.32		10			L
2018/09/24	Mon	08:17 PM	5.37		164			H
2018/09/25	Tue	02:37 AM	0.05		2			L
2018/09/25	Tue	08:37 AM	5.28		161			H
2018/09/25	Tue	03:00 PM	0.24		7			L
2018/09/25	Tue	08:53 PM	5.33		162			H
